1,0,13
2,0,169
4,0,28561
8,0,203599046
16,0,33106866
32,0,575168881
64,1,236138511
128,3,286103846
256,4,64809216
512,8,558639231
1024,17,219458536
2048,32,175653046
4096,73,499334991
8192,168,554610081
16384,285,470163636
32768,594,217053871
65536,1031,325077491
131072,2063,180226431
262144,4252,99469111
524288,8497,24833996
1048576,16845,409843791
2097152,33732,119649156
4194304,68147,108945711
8388608,134375,265134746
16777216,270855,204736641
33554432,537933,262464156
67108864,1077717,257637736
134217728,2163080,269022771
268435456,4317483,286702541
536870912,8745348,19993906
