1,2,13
2,6,169
4,9,28561
8,13,203599046
16,16,33106866
32,20,575168881
64,24,236138511
128,27,286103846
256,31,64809216
512,34,558639231
1024,38,219458536
2048,42,175653046
4096,45,499334991
8192,48,554610081
16384,53,470163636
32768,55,217053871
65536,60,325077491
131072,64,180226431
262144,67,99469111
524288,72,24833996
1048576,74,409843791
2097152,77,119649156
4194304,81,108945711
8388608,100,265134746
16777216,89,204736641
33554432,93,262464156
67108864,96,257637736
134217728,99,269022771
268435456,102,286702541
536870912,106,19993906
1073741824,110,13988036
2147483648,125,321881921
4294967296,117,429191466
8589934592,123,316076406
17179869184,124,170343536
34359738368,132,229872721
68719476736,131,459536391
137438953472,142,118251281
274877906944,140,259178286
549755813888,145,498124296
1099511627776,151,460760691
2199023255552,151,280286806
4398046511104,154,313673861
8796093022208,158,227684821
17592186044416,163,248796391
35184372088832,171,383432781
70368744177664,170,214012111
140737488355328,173,578416021
281474976710656,177,276617491
562949953421312,182,157039506
1125899906842624,188,391637811
2251799813685248,188,76960971
4503599627370496,195,72909441
9007199254740992,196,229727006
18014398509481984,199,151219961
36028797018963968,205,166065521
72057594037927936,207,430769766
144115188075855872,212,14091206
288230376151711744,229,38061286
576460752303423488,227,464025596
1152921504606846976,222,165707041
2305843009213693952,226,114406456
